HeaderURI,WellName,APINo,Label,OtherID,Operator,MineralOwner,LeaseName,SpudDate,EndedDrillingDate,welltype,Status,CommodityOfInterest,StatusDate,ProducingInterval,County,State,Field,OtherLocationName,PLSS_Meridians,Township,Range,Section,SectionPart,LatDegreeWGS84,LongDegreeWGS84,SRS,LocationUncertaintyStatement,DrillerTotalDepth,DepthReferencePoint,LengthUnits,WellBoreShape,TrueVerticalDepth,ElevationKB,ElevationDF,ElevationGL,FormationTD,BitDiameterCollar,DiameterUnits,Notes,CasingBottomDepthDriller,CasingTopDepth,CasingPipeDiameter,CasingWeight,CasingWeightUnits,InformationSource,Shape
https://geothermal.smu.edu/header/465228dd-3a11-339c-9f8a-b1668a1afb38,CA-00960,,CA-00960,SMU: CA-00960 ,,,,,,,,,,,Lake County,California,,FRANCISCAN-E. OF SAN ANDREAS; SANTA ROSA AMS; SMU: CA-00960| GGC-HS2,,11N,7W,13D,,38.7973806,-122.5883695,WGS84,,91.0,,m,,,,,,,,inches,SMU REF M-71 ;  ,,,,,lbs/ft,SMU HF,0101000020E6100000B01D8CD8A7A55EC080BB479110664340
https://geothermal.smu.edu/header/467fb6a9-3356-3252-95f8-8af3af98be1b,CA-UND US 558,,CA-UND US 558,SMU: CA-UND US 558 ,,,,,,,,,,,Imperial County,California,,; 158 UND Ref; SMU: CA-UND US 558| SWANBERG,,,,,,32.8384056,-115.2308057,WGS84,,,,m,,,,,,,,inches,Global Heat Flow database Hole description: B ;  ,,,,,lbs/ft,SMU HF,0101000020E6100000BF4E4585C5CE5CC04264ECDF506B4040
https://geothermal.smu.edu/header/46bc7190-9246-315e-b688-ad75144495a6,CA-00901,,CA-00901,SMU: CA-00901 ,,,,,,,,,,,Lake County,California,,FRANCISCAN-E. OF SAN ANDREAS; SANTA ROSA AMS; SMU: CA-00901| Gey48,,,,,,38.8028798,-122.6703717,WGS84,,167.7,,m,,,,,,,,inches,SMU REF M-96 ;  ,,,,,lbs/ft,SMU HF,0101000020E61000007EEAB35EE7AA5EC03CCFE9C3C4664340
https://geothermal.smu.edu/header/46c9ec30-d670-3607-8bbd-7b9fa26eb2d2,CA-06001,,CA-06001,SMU: CA-06001 ,,,,,,,,,,,Kern County,California,,Basin and Range; Saltdale NW 7.5; SMU: CA-06001| 801,,,,,,35.3749888,-118.0009043,WGS84,SW Corner of Map for Lat_Long,50.0,,m,,,,,,,,inches,1979 WUS data ;  ,,,,,lbs/ft,SMU HF,0101000020E610000040BBE8D00E805DC0E22E0CA2FFAF4140
https://geothermal.smu.edu/header/46eee1f5-ef53-3a0f-bcc2-059da1cd4ed3,CA-00558,,CA-00558,SMU: CA-00558 ,,,,,,,,,,,Lake County,California,,FRANCISCAN-E. OF SAN ANDREAS; SANTA ROSA AMS; SMU: CA-00558| AMAX-L14,,10N,7W,23,,38.6986687,-122.6040867,WGS84,location estimated from TRS,20.0,,m,,,,,414.0,,,inches,SMU REF M-91 ;  ,,,,,lbs/ft,SMU HF,0101000020E6100000B51C435BA9A65EC0929ED8F96D594340
https://geothermal.smu.edu/header/46f600f5-6c2c-3f6f-bc40-674b8e698c15,CA-00001,,CA-00001,SMU: CA-00001 ,,,,,,,,,,,San Bernardino County,California,,BASIN AND RANGE; TWENTYNINE PALMS / SAN BERNADINO AMS CALIFORNIA; SMU: CA-00001| 29 PALMS,,1S,9E,14BAD,,34.0900342,-116.0125382,WGS84,,100.0,,m,,,,,786.0,,,inches,UND Data Record: US 460. ;  ,,,,,lbs/ft,SMU HF,0101000020E6100000D8BC056DCD005DC0C1429C3D860B4140
https://geothermal.smu.edu/header/46f68ba1-8a4e-31fc-b9f3-f94c48799c85,OR-06066,,OR-06066,SMU: OR-06066 ,,,,,,,,,,,Siskiyou County,California,,Basin and Range; ; SMU: OR-06066| Old Pothole Well,,30S,7E,20,,41.9998423,-121.7510983,WGS84,,46.0,,m,,,,,1433.0,,,inches,Old Pothole Well ;  ,,,,,lbs/ft,SMU HF,0101000020E610000032A59AFE11705EC026D41DD5FAFF4440
https://geothermal.smu.edu/header/472c2903-3eaf-3859-beb6-06887e010656,CA-01106,,CA-01106,SMU: CA-01106 ,,,,,,,,,,,Lake County,California,,FRANCISCAN-E. OF SAN ANDREAS; SANTA ROSA AMS; SMU: CA-01106| S&B1,,11N,8W,23,,38.8003794,-122.7143729,WGS84,,3431.0,,m,,,,,,,,inches,SMU REF M-73 ;  ,,,,,lbs/ft,SMU HF,0101000020E610000084A91C49B8AD5EC030B209D572664340
https://geothermal.smu.edu/header/47454e0f-0699-309a-b3ab-55432e3fee37,CA-01285,,CA-01285,SMU: CA-01285 ,,,,,,,,,,,Sonoma County,California,,FRANCISCAN-E. OF SAN ANDREAS; SANTA ROSA AMS; SMU: CA-01285| U-73-4,,10N,8W,22C,,38.6940811,-122.7372719,WGS84,,76.2,,m,,,,,121.0,,,inches,SMU REF M-71;M-95 ;  ,,,,,lbs/ft,SMU HF,0101000020E6100000A0B07A762FAF5EC0C7A244A6D7584340
https://geothermal.smu.edu/header/475ac386-ff2f-3ccf-8077-87bdd4550520,CA-00728,,CA-00728,SMU: CA-00728 ,,,,,,,,,,,Lake County,California,,FRANCISCAN-E. OF SAN ANDREAS; SANTA ROSA AMS; SMU: CA-00728| Ch-MSH-1,,,,,,38.7560808,-122.6480705,WGS84,,151.5,,m,,,,,365.0,,,inches,SMU REF M-72;M-95 ;  ,,,,,lbs/ft,SMU HF,0101000020E610000027C0B0FC79A95EC017917241C7604340
